bnf_drug_code,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,amp_annual,amp_semiannual,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,aic_1h,aic_2h,modality,bnf_class_code,bnf_drug_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,drug_all_q_bh,drug_significant,inference_scope,multiplicity_family,bnf_class_name,class_q_bh,class_significant,parent_class_significant,conditional_drug_q_legacy,conditional_drug_significant_legacy
0503040B0,158.776012009382,59.3156080421337,440.277872044669,Jan,Aug,2.28989685800784,0.669766121904494,1,0.768226071010625,0.708360017451383,0.405871558780574,30941.6220436183,24776.8304014643,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",050304,Oseltamivir phosphate,7.79723884165772e-70,poisson,HAC-Wald,614.487686055922,0.0156989460454881,0.0248615110274991,0.856271909514563,FALSE,,1.4576532958908,1.76603354704628,0.0887772137951821,0.663856358229512,TRUE,,3.61643363417839e-68,TRUE,secondary_exploratory,all_eligible_drugs,Influenza,1.28759388270775e-68,TRUE,TRUE,2.44313483705275e-68,TRUE
1404000H0,71.4684022179458,45.1160426380986,123.978016550019,Nov,Jun,1.82798121808593,0.773305637335828,1,0.870370563240069,0.87515176166029,0.127147473319625,1333.62419113645,1304.99047187401,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",140400,Influenza,4.31089671385047e-21,negbin,NB-LRT,204713.167343995,7.47178670891603e-06,0.270435601951578,,,3.26063125085784,-0.668334665004821,1.70142414148495,-0.729258281972288,-0.257262447532084,TRUE,,6.26688567058262e-20,TRUE,secondary_exploratory,all_eligible_drugs,Vaccines and antisera,5.01709265504371e-74,TRUE,TRUE,4.36395390417478e-20,TRUE
130801000,2.68802267926993,2.47742095280395,2.92283905347614,Jun,Jan,0.49153971908332,0.0489365200990976,1,0.938205160246239,0.901059915344847,0.205120564060595,686.737430273242,684.590687664131,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",130801,Other sunscreening preparations,1.75984836745478e-27,negbin,NB-LRT,31.2170376560408,5.59492556024408e-06,0.0577013258263417,,,121.962921474536,-0.0943294586994282,-0.482403615925484,-0.0229130443924977,0.0432408995752495,TRUE,,3.64700491468288e-26,TRUE,secondary_exploratory,all_eligible_drugs,Sunscreening preparations,3.30769565126227e-31,TRUE,TRUE,2.46378771443669e-26,TRUE
1104020W0,2.64686820278867,2.49622364970779,2.97915088950437,Jun,Jan,0.4733333215501,0.163681516037129,2,0.975889328971552,0.963581961913505,0.0178182833426693,8086.73717887947,4987.07225485264,"bimodal (2 harmonics, 2 peaks)",110402,Azelastine hydrochloride,1.56351158184924e-179,poisson,HAC-Wald,116.769407996859,0.00732825941885771,0.000247843062247011,1.53793248665557,FALSE,,0.0189928043784017,-0.472952118793747,-0.0222283108222556,0.162165165464726,TRUE,,2.17551468674451e-177,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,1.46970088693829e-177,TRUE
1104020AC,2.42935258102727,2.27923990670276,2.63573590975295,Jun,Dec,0.447494376718491,0.0969055842739967,1,0.92898223821359,0.938991208943045,0.105254258454748,443.340198185449,418.717840223856,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",110402,Epinastine hydrochloride,3.56295421937306e-152,poisson,Poisson-LRT,2.08992600038198,0.0863072022623508,0.209149537729395,,,,0.0572867640342063,-0.443812397146767,-0.0244138323765284,0.0937798328649367,TRUE,,3.47031740966936e-150,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,2.34442387634747e-150,TRUE
0501013B0,2.3447115089638,2.01914191739359,2.72936623398903,Dec,Aug,0.36753338499362,0.124782482008094,1,0.899792873042418,0.839369948209857,0.466365075835741,661046.525937989,431431.448224608,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",050101,Amoxicillin,3.14925903293958e-48,poisson,HAC-Wald,11125.2654507066,0.00618743313043236,0.00628019425534743,2.14509917293213,FALSE,,0.170735636878179,0.325469094361771,-0.0642492370616801,0.106970572369658,TRUE,,1.02245943269438e-46,TRUE,secondary_exploratory,all_eligible_drugs,Penicillins,5.41228415339323e-21,TRUE,TRUE,6.90737481224747e-47,TRUE
0501050H0,2.29282829430822,1.90356109689614,2.80847586358234,Dec,Aug,0.307397592017935,0.175171359837825,2,0.760197885043819,0.702841549237755,0.716076544924921,926.551407198262,914.762002498785,"bimodal (2 harmonics, 2 peaks)",050105,Erythromycin ethylsuccinate,3.05073794560427e-09,negbin,NB-LRT,1194.41270878878,0.0343616413819459,0.163589621717818,,,25.1881570996969,0.183781681522353,0.246409360851493,-0.0678783267560461,0.161485411304651,TRUE,,2.10738919079331e-08,TRUE,secondary_exploratory,all_eligible_drugs,Macrolides,6.83004773135963e-17,TRUE,TRUE,1.49804893149822e-08,TRUE
1104020T0,2.27273965667202,2.16816195057243,2.42826531195545,Jun,Jan,0.3987438977225,0.12808265853475,1,0.974509951096968,0.964072129909803,0.451101374317931,48197.6117715983,27652.0385719105,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",110402,Sodium cromoglicate,3.97127991538441e-239,poisson,HAC-Wald,700.986646363357,0.00588716232953899,9.26565258597689e-05,0.623220137784208,FALSE,,0.0189781371443854,-0.398292011320162,-0.0286790111694649,0.124830612173742,TRUE,,9.67006659396105e-237,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,6.53275546080736e-237,TRUE
0309020D0,2.14599894508326,1.96404326836287,2.35616136466655,Dec,Aug,0.327219416246804,0.122247584102007,1,0.918034704177545,0.891868007617378,0.592532247895096,3935.93988203042,2399.30883865026,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",030902,Simple,1.97003961983291e-145,poisson,HAC-Wald,47.852806853539,5.38338998388516e-05,0.0370271166154359,11.2549542986269,FALSE,,0.129561059491961,0.300477084371205,-0.0916911286973994,0.0808530069754628,TRUE,,1.74438053610659e-143,TRUE,secondary_exploratory,all_eligible_drugs,Expectorant and demulcent cough preparations,7.19264838400822e-140,TRUE,TRUE,1.17844188168187e-143,TRUE
1104020B0,1.97636105737232,1.75674002553133,2.63164690464949,Jun,Dec,0.34073756423833,0.073570134021439,1,0.495208665711265,0.495411038289458,0.700894639471475,2014.93421772829,1931.88183126915,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",110402,Antazoline,5.81777246297883e-24,poisson,HAC-Wald,36.6138085781202,1.36373533946245e-05,1.11022302462516e-16,0.977846200673428,FALSE,,-0.00861447199551986,-0.340628651988215,0.0153768088100525,0.0719452456438338,TRUE,,9.94124627884453e-23,TRUE,secondary_exploratory,all_eligible_drugs,Other anti-inflammatory preparations,7.18501992677657e-144,TRUE,TRUE,6.83588264400013e-23,TRUE
