BNF chapter,BNF class code,BNF class,Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Cross-year reproducibility,Distribution,Inference method,HAC bandwidth capped,Class q (BH; all eligible classes),Meaningful seasonality
Infections,05.03.04,Influenza,Primary inferential,158.006,59.885,431.964,Jan,Aug,Unimodal (non-sinusoidal),0.720,0.431,0.766,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Immunological Products and Vaccines,14.04.00,Vaccines and antisera,Primary inferential,60.087,23.871,163.598,Oct,Jun,Bimodal,0.861,0.000,0.858,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Respiratory System,03.09.02,Expectorant and demulcent cough preparations,Primary inferential,2.141,1.960,2.350,Dec,Aug,Unimodal (non-sinusoidal),0.882,0.536,0.918,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,Primary inferential,1.981,1.884,2.125,Jun,Jan,Unimodal (non-sinusoidal),0.962,0.206,0.971,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Infections,05.01.03,Tetracyclines,Primary inferential,1.601,1.460,1.777,Dec,Aug,Unimodal (non-sinusoidal),0.825,0.357,0.857,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Respiratory System,03.04.03,Allergic emergencies,Primary inferential,1.583,1.425,1.801,Aug,Dec,Bimodal,0.828,0.319,0.784,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Eye,11.03.01,Antibacterials,Primary inferential,1.577,1.391,1.829,Feb,Sep,Unimodal (non-sinusoidal),0.768,0.633,0.893,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Infections,05.01.01,Penicillins,Primary inferential,1.572,1.399,1.768,Dec,Aug,Unimodal (non-sinusoidal),0.767,0.565,0.833,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Respiratory System,03.09.01,Cough suppressants,Primary inferential,1.547,1.453,1.683,Dec,Aug,Unimodal (non-sinusoidal),0.814,0.896,0.747,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Respiratory System,03.10.00,Systemic nasal decongestants,Primary inferential,1.534,1.417,1.690,Dec,Jul,Unimodal,0.714,0.877,0.677,Negbin,Negative binomial (LRT),"",<0.001,Yes
Skin,13.10.04,Parasiticidal preparations,Primary inferential,1.452,1.375,1.557,Nov,Jul,Unimodal (non-sinusoidal),0.844,0.968,0.829,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Infections,05.01.05,Macrolides,Primary inferential,1.415,1.258,1.620,Dec,Aug,Unimodal (non-sinusoidal),0.725,0.535,0.740,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
"Ear, Nose and Oropharynx",12.03.01,Drugs for oral ulceration and inflammation,Primary inferential,1.411,1.295,1.545,Dec,Aug,Unimodal (non-sinusoidal),0.775,0.094,0.812,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.03,Nasal preparations for infection,Primary inferential,1.400,1.335,1.507,May,Sep,Unimodal (non-sinusoidal),0.853,0.467,0.814,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Skin,13.12.00,Antiperspirants,Primary inferential,1.392,1.347,1.455,Jul,Dec,Unimodal (non-sinusoidal),0.861,0.013,0.851,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Skin,13.07.00,Preparations for warts and calluses,Primary inferential,1.368,1.309,1.478,Aug,Jan,Unimodal (non-sinusoidal),0.845,0.667,0.817,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Respiratory System,03.04.02,Allergen immunotherapy,Primary inferential,1.325,1.259,1.402,May,Nov,Unimodal,0.664,0.963,0.659,Poisson,Poisson (LRT),"",<0.001,Yes
Endocrine System,06.03.02,Glucocorticoid therapy,Primary inferential,1.322,1.261,1.387,Dec,Aug,Unimodal (non-sinusoidal),0.841,0.581,0.839,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Skin,13.06.03,Topical preparation for rosacea,Primary inferential,1.321,1.290,1.377,Apr,Dec,Unimodal (non-sinusoidal),0.872,0.958,0.880,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
Skin,13.08.01,Sunscreening preparations,Primary inferential,1.280,1.230,1.358,Aug,Jan,Unimodal (non-sinusoidal),0.821,0.650,0.800,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,Yes
