BNF chapter,BNF class code,BNF class,BNF drug code,Drug (chemical substance),Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Distribution,Inference method,Parent class significant,Drug q (BH; all eligible drugs),Meaningful seasonality
Infections,05.03.04,Influenza,0503040B0,Oseltamivir phosphate,Secondary exploratory,158.776,59.316,440.278,Jan,Aug,Unimodal (non-sinusoidal),0.708,0.406,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Immunological Products and Vaccines,14.04.00,Vaccines and antisera,1404000H0,Influenza,Secondary exploratory,71.468,45.116,123.978,Nov,Jun,Unimodal (non-sinusoidal),0.875,0.127,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Skin,13.08.01,Sunscreening preparations,130801000,Other sunscreening preparations,Secondary exploratory,2.688,2.477,2.923,Jun,Jan,Unimodal (non-sinusoidal),0.901,0.205,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020W0,Azelastine hydrochloride,Secondary exploratory,2.647,2.496,2.979,Jun,Jan,Bimodal,0.964,0.018,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020AC,Epinastine hydrochloride,Secondary exploratory,2.429,2.279,2.636,Jun,Dec,Unimodal (non-sinusoidal),0.939,0.105,Poisson,Poisson (LRT),Yes,<0.001,Yes
Infections,05.01.01,Penicillins,0501013B0,Amoxicillin,Secondary exploratory,2.345,2.019,2.729,Dec,Aug,Unimodal (non-sinusoidal),0.839,0.466,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.01.05,Macrolides,0501050H0,Erythromycin ethylsuccinate,Secondary exploratory,2.293,1.904,2.808,Dec,Aug,Bimodal,0.703,0.716,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020T0,Sodium cromoglicate,Secondary exploratory,2.273,2.168,2.428,Jun,Jan,Unimodal (non-sinusoidal),0.964,0.451,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.09.02,Expectorant and demulcent cough preparations,0309020D0,Simple,Secondary exploratory,2.146,1.964,2.356,Dec,Aug,Unimodal (non-sinusoidal),0.892,0.593,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.09.02,Expectorant and demulcent cough preparations,0309020G0,Guaifenesin,Secondary exploratory,1.939,1.771,2.184,Dec,Jul,Unimodal (non-sinusoidal),0.875,0.562,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Nutrition and Blood,09.02.01,Oral preparation for fluid and electrolyte imbalance,0902011U0,Potassium chloride,Secondary exploratory,1.861,1.746,2.006,Aug,Dec,Unimodal (non-sinusoidal),0.894,0.182,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Endocrine System,06.04.01,Female sex hormones and their modulators,0604012P0,Norethisterone,Secondary exploratory,1.847,1.738,1.960,Jul,Dec,Unimodal (non-sinusoidal),0.900,0.166,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020Z0,Olopatadine,Secondary exploratory,1.820,1.740,1.940,Jun,Jan,Unimodal (non-sinusoidal),0.946,0.818,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.01.03,Tetracyclines,0501030I0,Doxycycline hyclate,Secondary exploratory,1.815,1.610,2.074,Dec,Aug,Unimodal (non-sinusoidal),0.838,0.427,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020M0,Lodoxamide trometamol,Secondary exploratory,1.698,1.582,1.846,Jun,Jan,Unimodal (non-sinusoidal),0.910,0.615,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Eye,11.03.01,Antibacterials,1103010C0,Chloramphenicol,Secondary exploratory,1.679,1.471,1.942,Feb,Sep,Unimodal (non-sinusoidal),0.803,0.591,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
"Ear, Nose and Oropharynx",12.02.01,Drugs used in nasal allergy,1202010A0,Azelastine hydrochloride,Secondary exploratory,1.668,1.541,1.851,Jun,Feb,Bimodal,0.868,0.089,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Infections,05.01.01,Penicillins,0501011P0,Phenoxymethylpenicillin (Penicillin V),Secondary exploratory,1.640,1.433,1.960,Jan,Aug,Unimodal (non-sinusoidal),0.755,0.736,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Endocrine System,06.04.01,Female sex hormones and their modulators,0604012M0,Medroxyprogesterone acetate,Secondary exploratory,1.583,1.320,1.972,Jul,Nov,Unimodal (non-sinusoidal),0.573,0.581,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.04.03,Allergic emergencies,0304030C0,Adrenaline,Secondary exploratory,1.583,1.424,1.801,Aug,Dec,Bimodal,0.828,0.319,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.10.00,Systemic nasal decongestants,0310000N0,Pseudoephedrine hydrochloride,Secondary exploratory,1.552,1.432,1.711,Dec,Jul,Unimodal,0.713,0.861,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Eye,11.04.02,Other anti-inflammatory preparations,1104020Y0,Ketotifen fumarate,Secondary exploratory,1.524,1.435,1.645,Jun,Jan,Unimodal (non-sinusoidal),0.893,0.947,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Skin,13.10.04,Parasiticidal preparations,1310040Q0,Permethrin,Secondary exploratory,1.515,1.420,1.646,Nov,Jul,Unimodal (non-sinusoidal),0.859,0.970,Negbin,Negative binomial (LRT),Yes,<0.001,Yes
Infections,05.01.05,Macrolides,0501050B0,Clarithromycin,Secondary exploratory,1.505,1.340,1.716,Dec,Aug,Unimodal (non-sinusoidal),0.762,0.604,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
Respiratory System,03.09.01,Cough suppressants,0309010C0,Codeine phosphate,Secondary exploratory,1.485,1.424,1.558,Dec,Aug,Unimodal (non-sinusoidal),0.872,0.864,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,Yes
