BNF class code,BNF class,Peak-to-trough ratio (95% CI),Peak month,Trough month,Seasonal shape,Seasonal strength,Class q (BH; all eligible classes)
05.03.04,Influenza,158.01 (59.88–431.96),Jan,Aug,Unimodal (non-sinusoidal),0.72,<0.001
14.04.00,Vaccines and antisera,60.09 (23.87–163.60),Oct,Jun,Bimodal,0.86,<0.001
03.09.02,Expectorant and demulcent cough preparations,2.14 (1.96–2.35),Dec,Aug,Unimodal (non-sinusoidal),0.88,<0.001
11.04.02,Other anti-inflammatory preparations,1.98 (1.88–2.12),Jun,Jan,Unimodal (non-sinusoidal),0.96,<0.001
05.01.03,Tetracyclines,1.60 (1.46–1.78),Dec,Aug,Unimodal (non-sinusoidal),0.82,<0.001
03.04.03,Allergic emergencies,1.58 (1.43–1.80),Aug,Dec,Bimodal,0.83,<0.001
11.03.01,Antibacterials,1.58 (1.39–1.83),Feb,Sep,Unimodal (non-sinusoidal),0.77,<0.001
05.01.01,Penicillins,1.57 (1.40–1.77),Dec,Aug,Unimodal (non-sinusoidal),0.77,<0.001
03.09.01,Cough suppressants,1.55 (1.45–1.68),Dec,Aug,Unimodal (non-sinusoidal),0.81,<0.001
03.10.00,Systemic nasal decongestants,1.53 (1.42–1.69),Dec,Jul,Unimodal,0.71,<0.001
13.10.04,Parasiticidal preparations,1.45 (1.38–1.56),Nov,Jul,Unimodal (non-sinusoidal),0.84,<0.001
05.01.05,Macrolides,1.42 (1.26–1.62),Dec,Aug,Unimodal (non-sinusoidal),0.72,<0.001
12.03.01,Drugs for oral ulceration and inflammation,1.41 (1.29–1.54),Dec,Aug,Unimodal (non-sinusoidal),0.78,<0.001
12.02.03,Nasal preparations for infection,1.40 (1.33–1.51),May,Sep,Unimodal (non-sinusoidal),0.85,<0.001
13.12.00,Antiperspirants,1.39 (1.35–1.46),Jul,Dec,Unimodal (non-sinusoidal),0.86,<0.001
13.07.00,Preparations for warts and calluses,1.37 (1.31–1.48),Aug,Jan,Unimodal (non-sinusoidal),0.84,<0.001
03.04.02,Allergen immunotherapy,1.32 (1.26–1.40),May,Nov,Unimodal,0.66,<0.001
06.03.02,Glucocorticoid therapy,1.32 (1.26–1.39),Dec,Aug,Unimodal (non-sinusoidal),0.84,<0.001
13.06.03,Topical preparation for rosacea,1.32 (1.29–1.38),Apr,Dec,Unimodal (non-sinusoidal),0.87,<0.001
13.08.01,Sunscreening preparations,1.28 (1.23–1.36),Aug,Jan,Unimodal (non-sinusoidal),0.82,<0.001
03.04.01,Antihistamines,1.27 (1.25–1.30),Jun,Jan,Unimodal (non-sinusoidal),0.87,<0.001
13.11.06,Oxidisers and dyes,1.25 (1.19–1.32),Aug,Jan,Unimodal,0.66,<0.001
05.05.01,Drugs for threadworms,1.22 (1.16–1.31),Oct,Jun,Unimodal (non-sinusoidal),0.79,<0.001
05.02.05,Other antifungals,1.21 (1.17–1.25),Aug,Jan,Unimodal,0.86,<0.001
12.02.01,Drugs used in nasal allergy,1.19 (1.17–1.23),May,Oct,Unimodal (non-sinusoidal),0.80,<0.001
13.14.00,Topical circulatory preparations,1.18 (1.14–1.22),Jul,Dec,Unimodal (non-sinusoidal),0.77,<0.001
12.01.01,Otitis externa,1.17 (1.14–1.22),Sep,May,Bimodal,0.71,<0.001
04.10.02,Nicotine dependence,1.17 (1.12–1.42),Mar,Nov,Unimodal (non-sinusoidal),0.78,<0.001
04.05.01,Gastro-intestinal anti-obesity drugs,1.16 (1.13–1.21),Jul,Jan,Unimodal (non-sinusoidal),0.84,<0.001
01.07.04,Management of anal fissures,1.15 (1.12–1.18),Feb,Jul,Unimodal (non-sinusoidal),0.82,<0.001
