BNF class code,BNF class,BNF drug code,Drug (chemical substance),Peak-to-trough ratio (95% CI),Peak month,Trough month,Seasonal shape,Seasonal strength,Parent class significant,Drug q (BH; all eligible drugs)
05.03.04,Influenza,0503040B0,Oseltamivir phosphate,158.78 (59.32–440.28),Jan,Aug,Unimodal (non-sinusoidal),0.71,Yes,<0.001
14.04.00,Vaccines and antisera,1404000H0,Influenza,71.47 (45.12–123.98),Nov,Jun,Unimodal (non-sinusoidal),0.88,Yes,<0.001
13.08.01,Sunscreening preparations,130801000,Other sunscreening preparations,2.69 (2.48–2.92),Jun,Jan,Unimodal (non-sinusoidal),0.90,Yes,<0.001
11.04.02,Other anti-inflammatory preparations,1104020W0,Azelastine hydrochloride,2.65 (2.50–2.98),Jun,Jan,Bimodal,0.96,Yes,<0.001
11.04.02,Other anti-inflammatory preparations,1104020AC,Epinastine hydrochloride,2.43 (2.28–2.64),Jun,Dec,Unimodal (non-sinusoidal),0.94,Yes,<0.001
05.01.01,Penicillins,0501013B0,Amoxicillin,2.35 (2.02–2.73),Dec,Aug,Unimodal (non-sinusoidal),0.84,Yes,<0.001
05.01.05,Macrolides,0501050H0,Erythromycin ethylsuccinate,2.29 (1.90–2.81),Dec,Aug,Bimodal,0.70,Yes,<0.001
11.04.02,Other anti-inflammatory preparations,1104020T0,Sodium cromoglicate,2.27 (2.17–2.43),Jun,Jan,Unimodal (non-sinusoidal),0.96,Yes,<0.001
03.09.02,Expectorant and demulcent cough preparations,0309020D0,Simple,2.15 (1.96–2.36),Dec,Aug,Unimodal (non-sinusoidal),0.89,Yes,<0.001
03.09.02,Expectorant and demulcent cough preparations,0309020G0,Guaifenesin,1.94 (1.77–2.18),Dec,Jul,Unimodal (non-sinusoidal),0.88,Yes,<0.001
09.02.01,Oral preparation for fluid and electrolyte imbalance,0902011U0,Potassium chloride,1.86 (1.75–2.01),Aug,Dec,Unimodal (non-sinusoidal),0.89,Yes,<0.001
06.04.01,Female sex hormones and their modulators,0604012P0,Norethisterone,1.85 (1.74–1.96),Jul,Dec,Unimodal (non-sinusoidal),0.90,Yes,<0.001
11.04.02,Other anti-inflammatory preparations,1104020Z0,Olopatadine,1.82 (1.74–1.94),Jun,Jan,Unimodal (non-sinusoidal),0.95,Yes,<0.001
05.01.03,Tetracyclines,0501030I0,Doxycycline hyclate,1.81 (1.61–2.07),Dec,Aug,Unimodal (non-sinusoidal),0.84,Yes,<0.001
11.04.02,Other anti-inflammatory preparations,1104020M0,Lodoxamide trometamol,1.70 (1.58–1.85),Jun,Jan,Unimodal (non-sinusoidal),0.91,Yes,<0.001
11.03.01,Antibacterials,1103010C0,Chloramphenicol,1.68 (1.47–1.94),Feb,Sep,Unimodal (non-sinusoidal),0.80,Yes,<0.001
12.02.01,Drugs used in nasal allergy,1202010A0,Azelastine hydrochloride,1.67 (1.54–1.85),Jun,Feb,Bimodal,0.87,Yes,<0.001
05.01.01,Penicillins,0501011P0,Phenoxymethylpenicillin (Penicillin V),1.64 (1.43–1.96),Jan,Aug,Unimodal (non-sinusoidal),0.76,Yes,<0.001
06.04.01,Female sex hormones and their modulators,0604012M0,Medroxyprogesterone acetate,1.58 (1.32–1.97),Jul,Nov,Unimodal (non-sinusoidal),0.57,Yes,<0.001
03.04.03,Allergic emergencies,0304030C0,Adrenaline,1.58 (1.42–1.80),Aug,Dec,Bimodal,0.83,Yes,<0.001
03.10.00,Systemic nasal decongestants,0310000N0,Pseudoephedrine hydrochloride,1.55 (1.43–1.71),Dec,Jul,Unimodal,0.71,Yes,<0.001
11.04.02,Other anti-inflammatory preparations,1104020Y0,Ketotifen fumarate,1.52 (1.44–1.65),Jun,Jan,Unimodal (non-sinusoidal),0.89,Yes,<0.001
13.10.04,Parasiticidal preparations,1310040Q0,Permethrin,1.51 (1.42–1.65),Nov,Jul,Unimodal (non-sinusoidal),0.86,Yes,<0.001
05.01.05,Macrolides,0501050B0,Clarithromycin,1.50 (1.34–1.72),Dec,Aug,Unimodal (non-sinusoidal),0.76,Yes,<0.001
03.09.01,Cough suppressants,0309010C0,Codeine phosphate,1.49 (1.42–1.56),Dec,Aug,Unimodal (non-sinusoidal),0.87,Yes,<0.001
03.04.01,Antihistamines,0304010E0,Fexofenadine hydrochloride,1.47 (1.43–1.52),Jun,Jan,Unimodal (non-sinusoidal),0.93,Yes,<0.001
12.02.03,Nasal preparations for infection,1202030S0,Neomycin sulfate,1.44 (1.37–1.57),May,Sep,Unimodal (non-sinusoidal),0.86,Yes,<0.001
12.03.01,Drugs for oral ulceration and inflammation,1203010E0,Benzydamine hydrochloride,1.44 (1.32–1.58),Dec,Aug,Unimodal (non-sinusoidal),0.78,Yes,<0.001
12.02.01,Drugs used in nasal allergy,1202010T0,Triamcinolone acetonide,1.42 (1.26–1.95),Jun,Nov,Unimodal (non-sinusoidal),0.51,Yes,<0.001
03.04.02,Allergen immunotherapy,0304020AB,Timothy grass pollen allergen extract,1.39 (1.32–1.49),May,Nov,Unimodal,0.78,Yes,<0.001
