bnf_class_code,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,hac_capped,class_q_bh,class_significant,meaningful
050304,Influenza,primary_inferential,all_eligible_classes,158.006,59.885,431.964,Jan,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.766,0.72,0.431,poisson,HAC-Wald,FALSE,1.28759388270775e-68,TRUE,TRUE
140400,Vaccines and antisera,primary_inferential,all_eligible_classes,60.087,23.871,163.598,Oct,Jun,"bimodal (2 harmonics, 2 peaks)",2,0.858,0.861,0,poisson,HAC-Wald,FALSE,5.01709265504371e-74,TRUE,TRUE
030902,Expectorant and demulcent cough preparations,primary_inferential,all_eligible_classes,2.141,1.96,2.35,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.918,0.882,0.536,poisson,HAC-Wald,FALSE,7.19264838400822e-140,TRUE,TRUE
110402,Other anti-inflammatory preparations,primary_inferential,all_eligible_classes,1.981,1.884,2.125,Jun,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.971,0.962,0.206,poisson,HAC-Wald,FALSE,7.18501992677657e-144,TRUE,TRUE
050103,Tetracyclines,primary_inferential,all_eligible_classes,1.601,1.46,1.777,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.857,0.825,0.357,poisson,HAC-Wald,FALSE,3.22372888099791e-88,TRUE,TRUE
030403,Allergic emergencies,primary_inferential,all_eligible_classes,1.583,1.425,1.801,Aug,Dec,"bimodal (2 harmonics, 2 peaks)",2,0.784,0.828,0.319,poisson,HAC-Wald,FALSE,8.72335370101998e-18,TRUE,TRUE
110301,Antibacterials,primary_inferential,all_eligible_classes,1.577,1.391,1.829,Feb,Sep,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.893,0.768,0.633,poisson,HAC-Wald,FALSE,9.40936355817698e-11,TRUE,TRUE
050101,Penicillins,primary_inferential,all_eligible_classes,1.572,1.399,1.768,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.833,0.767,0.565,poisson,HAC-Wald,FALSE,5.41228415339323e-21,TRUE,TRUE
030901,Cough suppressants,primary_inferential,all_eligible_classes,1.547,1.453,1.683,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.747,0.814,0.896,poisson,HAC-Wald,FALSE,1.81028868884518e-49,TRUE,TRUE
031000,Systemic nasal decongestants,primary_inferential,all_eligible_classes,1.534,1.417,1.69,Dec,Jul,unimodal (1 harmonic preferred),1,0.677,0.714,0.877,negbin,NB-LRT,,7.51632472383658e-11,TRUE,TRUE
131004,Parasiticidal preparations,primary_inferential,all_eligible_classes,1.452,1.375,1.557,Nov,Jul,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.829,0.844,0.968,poisson,HAC-Wald,FALSE,6.7990072351079e-32,TRUE,TRUE
050105,Macrolides,primary_inferential,all_eligible_classes,1.415,1.258,1.62,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.74,0.725,0.535,poisson,HAC-Wald,FALSE,6.83004773135963e-17,TRUE,TRUE
120301,Drugs for oral ulceration and inflammation,primary_inferential,all_eligible_classes,1.411,1.295,1.545,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.812,0.775,0.094,poisson,HAC-Wald,FALSE,2.42048686581937e-22,TRUE,TRUE
120203,Nasal preparations for infection,primary_inferential,all_eligible_classes,1.4,1.335,1.507,May,Sep,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.814,0.853,0.467,poisson,HAC-Wald,FALSE,1.53124033203395e-34,TRUE,TRUE
131200,Antiperspirants,primary_inferential,all_eligible_classes,1.392,1.347,1.455,Jul,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.851,0.861,0.013,poisson,HAC-Wald,FALSE,2.92087891177799e-80,TRUE,TRUE
130700,Preparations for warts and calluses,primary_inferential,all_eligible_classes,1.368,1.309,1.478,Aug,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.817,0.845,0.667,poisson,HAC-Wald,FALSE,8.58535976194372e-32,TRUE,TRUE
030402,Allergen immunotherapy,primary_inferential,all_eligible_classes,1.325,1.259,1.402,May,Nov,unimodal (1 harmonic preferred),1,0.659,0.664,0.963,poisson,Poisson-LRT,,1.06312758467361e-23,TRUE,TRUE
060302,Glucocorticoid therapy,primary_inferential,all_eligible_classes,1.322,1.261,1.387,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.839,0.841,0.581,poisson,HAC-Wald,FALSE,7.99962161406946e-42,TRUE,TRUE
130603,Topical preparation for rosacea,primary_inferential,all_eligible_classes,1.321,1.29,1.377,Apr,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.88,0.872,0.958,poisson,HAC-Wald,FALSE,2.45879982359496e-118,TRUE,TRUE
130801,Sunscreening preparations,primary_inferential,all_eligible_classes,1.28,1.23,1.358,Aug,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.8,0.821,0.65,poisson,HAC-Wald,FALSE,3.30769565126227e-31,TRUE,TRUE
030401,Antihistamines,primary_inferential,all_eligible_classes,1.273,1.25,1.296,Jun,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.904,0.87,0.579,poisson,HAC-Wald,FALSE,1.95040709693529e-226,TRUE,TRUE
131106,Oxidisers and dyes,primary_inferential,all_eligible_classes,1.246,1.19,1.318,Aug,Jan,unimodal (1 harmonic preferred),1,0.591,0.663,0.937,negbin,NB-LRT,,2.67982021171216e-09,TRUE,TRUE
