bnf_drug_code,bnf_drug_name,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,drug_all_q_bh,drug_significant,parent_class_significant,class_q_bh,conditional_drug_q_legacy,conditional_drug_significant_legacy,meaningful
0503040B0,Oseltamivir phosphate,Influenza,secondary_exploratory,all_eligible_drugs,158.776,59.316,440.278,Jan,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.768,0.708,0.406,poisson,HAC-Wald,3.61643363417839e-68,TRUE,TRUE,1.28759388270775e-68,2.44313483705275e-68,TRUE,TRUE
1404000H0,Influenza,Vaccines and antisera,secondary_exploratory,all_eligible_drugs,71.468,45.116,123.978,Nov,Jun,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.87,0.875,0.127,negbin,NB-LRT,6.26688567058262e-20,TRUE,TRUE,5.01709265504371e-74,4.36395390417478e-20,TRUE,TRUE
130801000,Other sunscreening preparations,Sunscreening preparations,secondary_exploratory,all_eligible_drugs,2.688,2.477,2.923,Jun,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.938,0.901,0.205,negbin,NB-LRT,3.64700491468288e-26,TRUE,TRUE,3.30769565126227e-31,2.46378771443669e-26,TRUE,TRUE
1104020W0,Azelastine hydrochloride,Other anti-inflammatory preparations,secondary_exploratory,all_eligible_drugs,2.647,2.496,2.979,Jun,Jan,"bimodal (2 harmonics, 2 peaks)",0.976,0.964,0.018,poisson,HAC-Wald,2.17551468674451e-177,TRUE,TRUE,7.18501992677657e-144,1.46970088693829e-177,TRUE,TRUE
1104020AC,Epinastine hydrochloride,Other anti-inflammatory preparations,secondary_exploratory,all_eligible_drugs,2.429,2.279,2.636,Jun,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.929,0.939,0.105,poisson,Poisson-LRT,3.47031740966936e-150,TRUE,TRUE,7.18501992677657e-144,2.34442387634747e-150,TRUE,TRUE
0501013B0,Amoxicillin,Penicillins,secondary_exploratory,all_eligible_drugs,2.345,2.019,2.729,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.9,0.839,0.466,poisson,HAC-Wald,1.02245943269438e-46,TRUE,TRUE,5.41228415339323e-21,6.90737481224747e-47,TRUE,TRUE
0501050H0,Erythromycin ethylsuccinate,Macrolides,secondary_exploratory,all_eligible_drugs,2.293,1.904,2.808,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",0.76,0.703,0.716,negbin,NB-LRT,2.10738919079331e-08,TRUE,TRUE,6.83004773135963e-17,1.49804893149822e-08,TRUE,TRUE
1104020T0,Sodium cromoglicate,Other anti-inflammatory preparations,secondary_exploratory,all_eligible_drugs,2.273,2.168,2.428,Jun,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.975,0.964,0.451,poisson,HAC-Wald,9.67006659396105e-237,TRUE,TRUE,7.18501992677657e-144,6.53275546080736e-237,TRUE,TRUE
0309020D0,Simple,Expectorant and demulcent cough preparations,secondary_exploratory,all_eligible_drugs,2.146,1.964,2.356,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.918,0.892,0.593,poisson,HAC-Wald,1.74438053610659e-143,TRUE,TRUE,7.19264838400822e-140,1.17844188168187e-143,TRUE,TRUE
0309020G0,Guaifenesin,Expectorant and demulcent cough preparations,secondary_exploratory,all_eligible_drugs,1.939,1.771,2.184,Dec,Jul,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.827,0.875,0.562,negbin,NB-LRT,7.58882799169254e-15,TRUE,TRUE,7.19264838400822e-140,5.24067181502509e-15,TRUE,TRUE
0902011U0,Potassium chloride,Oral preparation for fluid and electrolyte imbalance,secondary_exploratory,all_eligible_drugs,1.861,1.746,2.006,Aug,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.893,0.894,0.182,negbin,NB-LRT,1.47197587521679e-22,TRUE,TRUE,8.65885960246975e-07,1.01155999836555e-22,TRUE,TRUE
0604012P0,Norethisterone,Female sex hormones and their modulators,secondary_exploratory,all_eligible_drugs,1.847,1.738,1.96,Jul,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.898,0.9,0.166,negbin,NB-LRT,1.15854593297061e-22,TRUE,TRUE,0.000113754559464022,7.96403814724784e-23,TRUE,TRUE
1104020Z0,Olopatadine,Other anti-inflammatory preparations,secondary_exploratory,all_eligible_drugs,1.82,1.74,1.94,Jun,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.964,0.946,0.818,poisson,HAC-Wald,4.74927721695915e-139,TRUE,TRUE,7.18501992677657e-144,3.20844395149807e-139,TRUE,TRUE
0501030I0,Doxycycline hyclate,Tetracyclines,secondary_exploratory,all_eligible_drugs,1.815,1.61,2.074,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.871,0.838,0.427,poisson,HAC-Wald,5.86911844070169e-93,TRUE,TRUE,3.22372888099791e-88,3.96496913139806e-93,TRUE,TRUE
1104020M0,Lodoxamide trometamol,Other anti-inflammatory preparations,secondary_exploratory,all_eligible_drugs,1.698,1.582,1.846,Jun,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.931,0.91,0.615,poisson,HAC-Wald,5.68157356164105e-57,TRUE,TRUE,7.18501992677657e-144,3.83827043486633e-57,TRUE,TRUE
1103010C0,Chloramphenicol,Antibacterials,secondary_exploratory,all_eligible_drugs,1.679,1.471,1.942,Feb,Sep,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.909,0.803,0.591,poisson,HAC-Wald,2.13402718078335e-13,TRUE,TRUE,9.40936355817698e-11,1.47267712206362e-13,TRUE,TRUE
1202010A0,Azelastine hydrochloride,Drugs used in nasal allergy,secondary_exploratory,all_eligible_drugs,1.668,1.541,1.851,Jun,Feb,"bimodal (2 harmonics, 2 peaks)",0.918,0.868,0.089,poisson,HAC-Wald,2.48099204222707e-49,TRUE,TRUE,4.93335033400967e-52,1.67607059936901e-49,TRUE,TRUE
0501011P0,Phenoxymethylpenicillin (Penicillin V),Penicillins,secondary_exploratory,all_eligible_drugs,1.64,1.433,1.96,Jan,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.762,0.755,0.736,poisson,HAC-Wald,8.22802078365865e-12,TRUE,TRUE,5.41228415339323e-21,5.66443757987944e-12,TRUE,TRUE
0604012M0,Medroxyprogesterone acetate,Female sex hormones and their modulators,secondary_exploratory,all_eligible_drugs,1.583,1.32,1.972,Jul,Nov,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.767,0.573,0.581,poisson,HAC-Wald,4.62398521642936e-11,TRUE,TRUE,0.000113754559464022,3.20673387363141e-11,TRUE,TRUE
0304030C0,Adrenaline,Allergic emergencies,secondary_exploratory,all_eligible_drugs,1.583,1.424,1.801,Aug,Dec,"bimodal (2 harmonics, 2 peaks)",0.784,0.828,0.319,poisson,HAC-Wald,1.54151129662346e-17,TRUE,TRUE,8.72335370101998e-18,1.06879560396497e-17,TRUE,TRUE
0310000N0,Pseudoephedrine hydrochloride,Systemic nasal decongestants,secondary_exploratory,all_eligible_drugs,1.552,1.432,1.711,Dec,Jul,unimodal (1 harmonic preferred),0.687,0.713,0.861,negbin,NB-LRT,8.47612951131942e-11,TRUE,TRUE,7.51632472383658e-11,5.874264435631e-11,TRUE,TRUE
1104020Y0,Ketotifen fumarate,Other anti-inflammatory preparations,secondary_exploratory,all_eligible_drugs,1.524,1.435,1.645,Jun,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.943,0.893,0.947,poisson,HAC-Wald,2.39397977868176e-54,TRUE,TRUE,7.18501992677657e-144,1.61728818724086e-54,TRUE,TRUE
1310040Q0,Permethrin,Parasiticidal preparations,secondary_exploratory,all_eligible_drugs,1.515,1.42,1.646,Nov,Jul,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.791,0.859,0.97,negbin,NB-LRT,2.5507297122838e-13,TRUE,TRUE,6.7990072351079e-32,1.75946044111343e-13,TRUE,TRUE
0501050B0,Clarithromycin,Macrolides,secondary_exploratory,all_eligible_drugs,1.505,1.34,1.716,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.736,0.762,0.604,poisson,HAC-Wald,1.33014658893284e-15,TRUE,TRUE,6.83004773135963e-17,9.20787712728192e-16,TRUE,TRUE
0309010C0,Codeine phosphate,Cough suppressants,secondary_exploratory,all_eligible_drugs,1.485,1.424,1.558,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.814,0.872,0.864,poisson,HAC-Wald,2.35824327094499e-81,TRUE,TRUE,1.81028868884518e-49,1.59314586476571e-81,TRUE,TRUE
0304010E0,Fexofenadine hydrochloride,Antihistamines,secondary_exploratory,all_eligible_drugs,1.472,1.427,1.525,Jun,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.95,0.925,0.895,poisson,HAC-Wald,1.53234429284799e-135,TRUE,TRUE,1.95040709693529e-226,1.03519768449074e-135,TRUE,TRUE
1202030S0,Neomycin sulfate,Nasal preparations for infection,secondary_exploratory,all_eligible_drugs,1.444,1.369,1.569,May,Sep,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.808,0.858,0.468,poisson,HAC-Wald,2.34676157181643e-35,TRUE,TRUE,1.53124033203395e-34,1.58538923434826e-35,TRUE,TRUE
1203010E0,Benzydamine hydrochloride,Drugs for oral ulceration and inflammation,secondary_exploratory,all_eligible_drugs,1.441,1.325,1.58,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.813,0.78,0.191,poisson,HAC-Wald,5.9135060165612e-22,TRUE,TRUE,2.42048686581937e-22,4.06266692537912e-22,TRUE,TRUE
1202010T0,Triamcinolone acetonide,Drugs used in nasal allergy,secondary_exploratory,all_eligible_drugs,1.417,1.26,1.945,Jun,Nov,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.315,0.507,0.796,poisson,HAC-Wald,4.00885550242132e-09,TRUE,TRUE,4.93335033400967e-52,2.81571108012869e-09,TRUE,TRUE
